id,domain,classification,split
579,virginmedia.com,0,train
580,usdoj.gov,0,train
581,sej.co.jp,0,train
582,azzablog.com,0,train
583,reuters.com,0,train
584,pages.dev,0,train
585,ezlocal.com,0,train
586,pravda.com.ua,0,train
587,belta.by,0,train
588,kobobooks.com,0,train
589,countrymusichalloffame.org,0,train
590,abdn.ac.uk,0,train
591,izrablog.com,0,train
592,findarticles.com,0,train
593,pcgamesn.com,0,train
594,goat.com,0,train
595,sciencedirect.com,0,train
596,zoritolerimol.com,0,train
597,planetminecraft.com,0,train
598,name.com,0,train
599,menards.com,0,train
600,schneier.com,0,train
601,barcelona.cat,0,train
602,civilrights.org,0,train
603,denofgeek.com,0,train
604,kptv.com,0,train
605,bplans.com,0,train
606,notes.io,0,train
607,beian.miit.gov.cn,0,train
608,poughkeepsiejournal.com,0,train
609,forth.gr,0,train
610,mongabay.com,0,train
611,scotsman.com,0,train
612,trueachievements.com,0,train
613,37signals.com,0,train
614,google.com.pa,0,train
615,reactjs.org,0,train
616,liquidweb.com,0,train
617,canaltech.com.br,0,train
618,hipaajournal.com,0,train
619,chicagotribune.com,0,train
620,iloveimg.com,0,train
621,downforeveryoneorjustme.com,0,train
622,nrao.edu,0,train
623,sunherald.com,0,train
624,itunes.com,0,train
625,problogger.net,0,train
626,icc-cpi.int,0,train
627,louisvuittonreplicabag.com,0,train
628,discoveryeducation.com,0,train
629,newsweek.com,0,train
630,pinup-azerbaycan-24.com,0,train
631,biz.yahoo.com,0,train
632,kingjamesbibleonline.org,0,train
633,sae.org,0,train
634,lc.cx,0,train
635,bancaditalia.it,0,train
636,thunderstruck-slots.com,0,train
637,curbed.com,0,train
638,dr.dk,0,train
639,publix.com,0,train
640,vassar.edu,0,train
641,lcsun-news.com,0,train
642,clickdimensions.com,0,train
643,thefwa.com,0,train
644,freefind.com,0,train
645,ucoz.com,0,train
646,lejdd.fr,0,train
647,die.net,0,train
648,earthsky.org,0,train
649,kaercher.com,0,train
650,topcillispill.com,0,train
651,doxycyclinego365.com,0,train
652,linkr.bio,0,train
653,checkatrade.com,0,train
654,theblogfairy.com,0,train
655,google.co.jp,0,train
656,ddavpinfo.com,0,train
657,emol.com,0,train
658,vigr24.com,0,train
659,oregonlegislature.gov,0,train
660,bd.com,0,train
661,unal.edu.co,0,train
662,subito.it,0,train
663,vcu.edu,0,train
664,archive-it.org,0,train
665,euromonitor.com,0,train
666,united.com,0,train
667,cio.com,0,train
668,capital.de,0,train
669,sjv.io,0,train
670,isaca.org,0,train
671,hoher-gewinnchance-casinos.com,0,train
672,onthisday.com,0,train
673,google.me,0,train
674,zocdoc.com,0,train
675,frieze.com,0,train
676,magentocommerce.com,0,train
677,complaintsboard.com,0,train
678,vuelta.club,0,train
679,momondo.com,0,train
680,brooklynmuseum.org,0,train
681,tass.com,0,train
682,asme.org,0,train
683,coreldraw.com,0,train
684,sebrae.com.br,0,train
685,taobao.org,0,train
686,london.ac.uk,0,train
687,chadd.org,0,train
688,moe.gov.cn,0,train
689,stickermule.com,0,train
690,hiroshima-u.ac.jp,0,train
691,spacenews.com,0,train
692,finland.fi,0,train
693,shoutmyblog.com,0,train
694,conac.cn,0,train
695,nbcolympics.com,0,train
696,voi.id,0,train
697,liveworksheets.com,0,train
698,gameloop.com,0,train
699,masterpapers.com,0,train
700,googleadservices.com,0,train
701,kpmg.us,0,train
702,dw.de,0,train
703,transportation.gov,0,train
704,styleshout.com,0,train
705,chordie.com,0,train
706,utah.edu,0,train
707,thedailystar.net,0,train
708,panynj.gov,0,train
709,collegeboard.com,0,train
710,seoranko.de,0,train
711,mylondon.news,0,train
712,waze.com,0,train
713,fox11online.com,0,train
714,getaround.com,0,train
715,moneyweb.co.za,0,train
716,zapier.com,0,train
717,veryluckypharaoh.com,0,train
718,undressaitool.ai,0,train
719,viki.com,0,train
720,mothership.sg,0,train
721,boursorama.com,0,train
722,wxyz.com,0,train
723,deutsches-museum.de,0,train
724,rider.edu,0,train
725,kuronekoyamato.co.jp,0,train
726,placehold.it,0,train
727,westfield.com,0,train
728,yamaha-motor.eu,0,train
729,nick.com,0,train
730,nerdgaming.science,0,train
731,renesas.com,0,train
732,behance.com,0,train
733,psbc.com,0,train
734,foe.org,0,train
735,emerson.com,0,train
736,welcometothejungle.com,0,train
737,kinsta.cloud,0,train
738,freedomhouse.org,0,train
739,free-av.com,0,train
740,gpo.gov,0,train
741,osce.org,0,train
742,dropboxusercontent.com,0,train
743,yousher.com,0,train
744,google.com.tr,0,train
745,badoo.com,0,train
746,engadget.com,0,train
747,adorama.com,0,train
748,sony.co.uk,0,train
749,joga-casino.com,0,train
750,tripadvisor.it,0,train
751,bbc.com,0,train
752,caramellaapp.com,0,train
753,reallusion.com,0,train
754,nahb.org,0,train
755,techionblog.com,0,train
756,thebureauinvestigates.com,0,train
757,crainsdetroit.com,0,train
758,tearosediner.net,0,train
759,guides.co,0,train
760,immowelt.de,0,train
761,historynewsnetwork.org,0,train
762,daserste.de,0,train
763,rlu.ru,0,train
764,fsb-tcfd.org,0,train
765,inyourpocket.com,0,train
766,wistia.com,0,train
767,sury.org,0,train
768,sify.com,0,train
769,suruga-ya.jp,0,train
770,oyez.org,0,train
771,blogimg.jp,0,train
772,google.com.py,0,train
773,aviation-safety.net,0,train
774,csuohio.edu,0,train
775,mises.org,0,train
776,calacademy.org,0,train
777,fairphone.com,0,train
778,ambafrance.org,0,train
779,boom.ru,0,train
780,images.google.pn,0,train
781,apollo.io,0,train
782,hwhproductions.com,0,train
783,copart.com,0,train
784,voedingscentrum.nl,0,train
785,katowice.pl,0,train
786,mccormick.com,0,train
787,buffalo.jp,0,train
788,undrr.org,0,train
789,spiked-online.com,0,train
790,europcar.com,0,train
791,mediaoptions.com,0,train
792,thezoereport.com,0,train
793,hs-sites.com,0,train
794,skynetblogs.be,0,train
795,projecteuclid.org,0,train
796,stuttgarter-zeitung.de,0,train
797,yunzhan365.com,0,train
798,nationalacademies.org,0,train
799,skinnytaste.com,0,train
800,dxomark.com,0,train
801,taipeitimes.com,0,train
802,aacrjournals.org,0,train
803,phplist.com,0,train
804,bingolotoclick.com,0,train
805,bmwgroup.com,0,train
806,ascension.org,0,train
807,lsu.edu,0,train
808,kennesaw.edu,0,train
809,unipr.it,0,train
810,mlbstatic.com,0,train
811,sp1-brevo.net,0,train
812,yadvashem.org,0,train
813,shopee.tw,0,train
814,globalsources.com,0,train
815,podio.com,0,train
816,umeng.com,0,train
817,bostonherald.com,0,train
818,orcid.org,0,train
819,data.world,0,train
820,zsl.org,0,train
821,newworldencyclopedia.org,0,train
822,playoverwatch.com,0,train
823,aicte-india.org,0,train
824,rbi.org.in,0,train
825,justgetflux.com,0,train
826,filezilla-project.org,0,train
827,cruxnow.com,0,train
828,haberler.com,0,train
829,kingarthurflour.com,0,train
830,ademe.fr,0,train
831,answerblogs.com,0,train
832,bendibao.com,0,train
833,brightside.me,0,train
834,automobilemag.com,0,train
835,tobeop.com,0,train
836,touristrequirements.info,0,train
837,radiopaedia.org,0,train
838,societe.com,0,train
839,nlb.gov.sg,0,train
840,studentbeans.com,0,train
841,brandsreviews.com,0,train
842,zedge.net,0,train
843,azfamily.com,0,train
844,nurse.org,0,train
845,amf-france.org,0,train
846,stories.com,0,train
847,earth.com,0,train
848,timedoctor.com,0,train
849,mybb.com,0,train
850,teacup.com,0,train
851,woodlandtrust.org.uk,0,train
852,kobe-u.ac.jp,0,train
853,wisconsin.edu,0,train
854,bloguetechno.com,0,train
855,netzpolitik.org,0,train
856,uillinois.edu,0,train
857,clickondetroit.com,0,train
858,law360.com,0,train
859,imgix.net,0,train
860,lavoro.gov.it,0,train
861,es.wikipedia.org,0,train
862,forbes.ru,0,train
863,disney.com,0,train
864,vol.at,0,train
865,michaelkors.com,0,train
866,google.dj,0,train
867,oecd.org,0,train
868,bettycrocker.com,0,train
869,knightfrank.com,0,train
870,workercn.cn,0,train
871,bergdorfgoodman.com,0,train
872,donaldjtrump.com,0,train
873,accenture.com,0,train
874,boozallen.com,0,train
875,nationalinterest.org,0,train
876,bitbin.it,0,train
877,blogrollcenter.com,0,train
878,dhakatribune.com,0,train
879,rsi.ch,0,train
880,swisscows.com,0,train
881,mystrikingly.com,0,train
882,b2bmarketing.net,0,train
883,borda.ru,0,train
884,hangzhou.com.cn,0,train
885,calgary.ca,0,train
886,ketv.com,0,train
887,freiburg.de,0,train
888,capital.com,0,train
889,pydata.org,0,train
890,dge.de,0,train
891,ak.us,0,train
892,thedenverchannel.com,0,train
893,chateauversailles.fr,0,train
894,traderjoes.com,0,train
895,aldi-sued.de,0,train
896,novayagazeta.ru,0,train
897,babylonbee.com,0,train
898,inkl.com,0,train
899,larepublica.co,0,train
900,gofile.io,0,train
901,mamamia.com.au,0,train
902,threads.com,0,train
903,aboutyoublog.com,0,train
904,okwave.jp,0,train
905,onmilwaukee.com,0,train
906,furman.edu,0,train
907,justin.tv,0,train
908,synology.me,0,train
909,augmentininfo.com,0,train
910,rcn.com,0,train
911,safeway.com,0,train
912,tass.ru,0,train
913,overclockers.co.uk,0,train
914,koreanair.com,0,train
915,alaraby.co.uk,0,train
916,zibll.com,0,train
917,napoli.it,0,train
918,google.cf,0,train
919,brandongaille.com,0,train
920,alltrails.com,0,train
921,morningconsult.com,0,train
922,bleedingcool.com,0,train
923,pmi.org,0,train
924,feedly.com,0,train
925,aceshowbiz.com,0,train
926,itsnicethat.com,0,train
927,arcpublishing.com,0,train
928,confex.com,0,train
929,office.com,0,train
930,market.us,0,train
931,tr.ee,0,train
932,kijiji.ca,0,train
933,hket.com,0,train
934,thepennyhoarder.com,0,train
935,techmonitor.ai,0,train
936,ebay.nl,0,train
937,manchester.ac.uk,0,train
938,skillsyouneed.com,0,train
939,postandcourier.com,0,train
940,givemesport.com,0,train
941,crackle.com,0,train
942,dosbox.com,0,train
943,exxonmobil.com,0,train
944,ebay.it,0,train
945,events.com,0,train
946,3dsystems.com,0,train
947,opensourcebridge.science,0,train
948,zalo.me,0,train
949,cpan.org,0,train
950,pge.com,0,train
951,edsource.org,0,train
952,flypgs.com,0,train
953,siteorigin.com,0,train
954,lamag.com,0,train
955,wuv.de,0,train
956,securityaffairs.com,0,train
957,vtb.ru,0,train
958,elmercurio.com,0,train
959,policia.es,0,train
960,lematin.ch,0,train
961,umbc.edu,0,train
962,zdf.de,0,train
963,hcamag.com,0,train
964,euroweeklynews.com,0,train
965,etsy.com,0,train
966,on3.com,0,train
967,trustarc.com,0,train
968,nsta.org,0,train
969,kde.org,0,train
970,mondelezinternational.com,0,train
971,chicagomanualofstyle.org,0,train
972,imeem.com,0,train
973,worldcasinodirectory.com,0,train
974,quicksprout.com,0,train
975,cargurus.com,0,train
976,pagefreezer.com,0,train
977,sleepdoctor.com,0,train
978,cancer.net,0,train
979,qualcomm.com,0,train
980,directdomains.com,0,train
981,uconn.edu,0,train
982,oyster.com,0,train
983,forever21.com,0,train
984,ymaws.com,0,train
985,jugem.jp,0,train
986,piemonte.it,0,train
987,mathsisfun.com,0,train
988,sheldonbrown.com,0,train
989,sothebysrealty.com,0,train
990,toledoblade.com,0,train
991,hln.be,0,train
992,climatechangenews.com,0,train
993,arcor.de,0,train
994,cakhiavx.cc,0,train
995,cartoonnetwork.com,0,train
996,cmha.ca,0,train
997,oecd-ilibrary.org,0,train
998,giustizia.it,0,train
999,intuit.com,0,train
1000,siemens.com,0,train
1001,sevenforums.com,0,train
1002,pv-magazine.com,0,train
1003,realclimate.org,0,train
1004,roll20.net,0,train
1005,urbanoutfitters.com,0,train
1006,ecfr.eu,0,train
1007,kotaku.com.au,0,train
1008,uschamber.com,0,train
1009,icio.us,0,train
1010,besoccer.com,0,train
1011,cannabis.net,0,train
1012,bhg.com,0,train
1013,ndu.edu,0,train
1014,thebase.in,0,train
1015,parimatch-bet.pl,0,train
1016,techstory.in,0,train
1017,dextools.io,0,train
1018,google.com.mt,0,train
1019,alistapart.com,0,train
1020,bma.org.uk,0,train
1021,ircam.fr,0,train
1022,adl.org,0,train
1023,qc.ca,0,train
1024,saint-gobain.com,0,train
1025,dataprotection.ie,0,train
1026,clickcease.com,0,train
1027,ksu.edu.sa,0,train
1028,aftership.com,0,train
1029,project-syndicate.org,0,train
1030,sfu.ca,0,train
1031,culture.gr,0,train
