id,domain,family,classification
124,1dp9mt81eezbsge503x1ncg0ie.net,gameover,dga
125,17axlqu77mdw011rbtjyxby53u.com,gameover,dga
126,n3b27rq24ci81yosdbyt7d87b.org,gameover,dga
127,158m7vt1infw8tkn0xfvtay7ya.biz,gameover,dga
128,1ee78l5gxqlt01y5fqo1pel9lq.org,gameover,dga
129,rsi1tomfg5z4s1xx6h1mdm99v.com,gameover,dga
130,1tq6htob6pina58fqqb7qy0ct.org,gameover,dga
131,4bt1hnzg98wljuqd0em5y9i0.net,gameover,dga
132,1758my218vwoptsn0vg61apk437.biz,gameover,dga
133,1w9omdmkj852lw45s2k1vy755t.com,gameover,dga
134,1egzjd993sb7vbz7rw1bovztj.com,gameover,dga
135,1rlvllf1tylcol4pvha917k469u.biz,gameover,dga
136,1ych66e1cggur5ua607qckh1vl.com,gameover,dga
137,14cqn5535s73kya2x1g5fqatf.org,gameover,dga
138,63diiq1yk9qce3smx2gd8riao.com,gameover,dga
139,h8s60zy3m8kjmngf8ew7v4jv.net,gameover,dga
140,n2vhyl28w1g8c9cdd76vg4sm.org,gameover,dga
141,14nn7xr1bigxyb1kcrf0a153vcrv.net,gameover,dga
142,16aynuembavww1sffzzjvg666c.com,gameover,dga
143,1uaj48n1i1hyaue5hfup1k9j8i1.org,gameover,dga
144,1b609c1dvc5m61ligikiek3ck2.net,gameover,dga
145,19zw1c61r72je616jh1el14b4zw3.net,gameover,dga
146,18m503euvadxa173d20b1tj3h3t.net,gameover,dga
147,zzagau1c4oe4p1t2d5xriuou9a.com,gameover,dga
148,17fga2dh5z69h13xz3luzl62r.com,gameover,dga
149,2ic5h7ydgzvr1nn121k115sktj.org,gameover,dga
150,1obzkclvdjb311qh4we82gd49b.com,gameover,dga
151,1fpxzch4hjjt1lac9oy12xdbwo.biz,gameover,dga
152,14fwavs1oo4a1zu3j53yoomm2f.org,gameover,dga
153,o3me201ykwmkt5zfsyh6vb3fh.net,gameover,dga
154,jmaxwwnxntqlj15m831swffyc.net,gameover,dga
155,1i8lp381f4uc95zaiaxn1wf6xig.net,gameover,dga
156,17w72rx1cgmxcvs4nuz1nrb5hv.com,gameover,dga
157,5ed89lhs53spgwp0d81q0tmeb.biz,gameover,dga
158,ft9vb1k9gdag1spcq1d1huind4.com,gameover,dga
159,11oz5941qp01t0uezhb31vtaikr.net,gameover,dga
160,1rgk34o1d99l5k2wradgv21xg1.net,gameover,dga
161,zrf9yno2xtrf1x2f44ir3dvuq.com,gameover,dga
162,18bee5cbdxd221ocdmgb3pqu3d.biz,gameover,dga
163,1nb9ta5142egty17lrvq61u2t11j.net,gameover,dga
164,qbgfefez5mv51e0a0gq1scc2j9.net,gameover,dga
165,rqsbp51slrp0a1u2955218t4y4i.net,gameover,dga
166,1kcn0wdt31o6at64t3buofmk6.biz,gameover,dga
167,r8q9zh1m0f8di1try1oj1o03osm.biz,gameover,dga
168,1gh3bh918f2ypu1hlfne0ysqy0d.com,gameover,dga
169,fadm891mi2tktnrdxqc11q46ng.org,gameover,dga
170,1hcqhe5ekm1a21n18q45vsnkag.com,gameover,dga
171,1cruvmg1xzc7kura7xqx18a6cy9.org,gameover,dga
172,vz99qy1jw43i51pcnul5240qh7.net,gameover,dga
173,1hf2vp11be8uzx1o7nwmci8iic3.net,gameover,dga
174,1rckhe41mj7c6m1skfgbn1364jfc.com,gameover,dga
175,vcaovmxj1rkppcs6kd1mfifja.net,gameover,dga
176,i371xe1vpac191di9khwwnsivw.biz,gameover,dga
177,ixmxz076pxygeoinkl1jbgjky.net,gameover,dga
178,17k2bu11ddreq01bw5mrycrw1l3.com,gameover,dga
179,9y8kr8e7or5pnsphnh8mgosq.net,gameover,dga
180,1g6sghsidffkfq1y60160uzop.com,gameover,dga
181,ob0kfy1txzkvi1n8iopz16b9pzb.net,gameover,dga
182,tyo6zu1976tycp93ggb1y1zork.net,gameover,dga
183,dm5i40berzph104jmhe1oli1zy.net,gameover,dga
184,qi8kn01v1ic3v3wt507i5wtyg.net,gameover,dga
185,1liz45t112lqh51k8t1141i8l6tk.com,gameover,dga
186,n2q85x1aixvphamgj2l1te14cc.org,gameover,dga
187,19sluj31mojnao1ktld9e1x5uxrx.net,gameover,dga
188,1jphca21p6k42p1vbz0epgmzynb.net,gameover,dga
189,1u5r4yzjp6jcc1wgpoxj1otevxg.com,gameover,dga
190,aaulb71athl2q16p3zbj17iyluk.org,gameover,dga
191,1hjmdt11cl4pp91jlzore1l40opl.org,gameover,dga
192,je7rd91p29r8o1pge9dv1iyrbqd.net,gameover,dga
193,5zkm8w1s7w4yyhocmy6duh726.org,gameover,dga
194,1a14sr5dqbwfm10dtlro18dtujo.com,gameover,dga
195,so50om1sldvb7prtu81o5qkoo.com,gameover,dga
196,1f7i6afnrjcvd3b7fy46tq70y.com,gameover,dga
197,k5zzvn8gg96m1p6wevnh43txw.biz,gameover,dga
198,1rmdb2vzmo0c8jfajxr1t8aac2.net,gameover,dga
199,ielh6dgehqhb4mcdehsajuxe.net,gameover,dga
200,8aubg81016sis1tt6aur1l0u0r0.org,gameover,dga
201,1u6jp5qva18ux34m15r1nmp2nf.biz,gameover,dga
202,14ktdd11a1cu8r1jlpqjz1otolp.biz,gameover,dga
203,iggsqj16zeyfp1097ww01akro6i.net,gameover,dga
204,1hw8wub8hxgh1jnxh3a1kn96w1.org,gameover,dga
205,6xgeegk4ks7zps7l4zywmdsh.org,gameover,dga
206,b83h2lu8g42212r8kid1wc6ul0.com,gameover,dga
207,2sqqoxb9mbul5tah3w6x0hoq.net,gameover,dga
208,1y1dzk6qx18vf2fqel01oigba6.com,gameover,dga
209,4f05181b25ocwp7wlil1hui7qw.org,gameover,dga
210,126bhwkvn4ts41544291frzdgo.net,gameover,dga
211,12yfwco1ffblmw1po99m8gsda4f.com,gameover,dga
212,1v4byctxjo1co1s05ttcwjdctm.org,gameover,dga
213,1uh25c61t7kswn3ntdikciwoy4.org,gameover,dga
214,1hr9iyqplrh4iyvv2osy0pe8n.org,gameover,dga
215,jueq25j4moaip8evxxfede46.net,gameover,dga
216,nkdmt4g3iruk7wfc4ggawd9k.com,gameover,dga
217,137i5x0944k4m1wtieb5sfkj29.net,gameover,dga
218,1igj63y2gjska17govu6fzo7ws.org,gameover,dga
219,1jtgwey139uwv1uymq93mp2ovp.com,gameover,dga
220,1mytqr8vyq3jkyb6dxbz6q87.com,gameover,dga
221,9azjar15ess4490geuk1ac07wo.org,gameover,dga
222,59w0y415su3yp1qw748k4my6aj.org,gameover,dga
223,1xzqz6i1mi7rf1te9gb9jmbk6l.biz,gameover,dga
224,1xhyz8z1ihzke2jorb0mxp3yvi.net,gameover,dga
225,g1okz7kttlsa1ivqxvn17b1a26.biz,gameover,dga
226,tnf7jv1da2mfpv5vp27yfdyuz.com,gameover,dga
227,1g2cc9m1actdim121t6ow105sbya.com,gameover,dga
228,lr0hhm3ev1bi1pr9vcn1d44h0w.net,gameover,dga
229,1y1yusk1n611st8wb5i47g4gk4.net,gameover,dga
230,1pt5ezc1lksjztdrvzt0137n24d.com,gameover,dga
231,1h9pnz4rn66nsum9rx5jl2dqh.com,gameover,dga
232,34a4le131gt2qdxrzcg1lokm1h.com,gameover,dga
233,1kb7ll1c83qjc154dk7nvatep1.net,gameover,dga
234,bk8uk1zbodt71o9gtukf221c0.org,gameover,dga
235,1e3gn2s12rgl4n187jcqld3meac.org,gameover,dga
236,3a3qs61z04j3x1c0z3j81b4wefg.net,gameover,dga
237,1meeo0f1or6bre1lqu94s1yc72z.net,gameover,dga
238,1u91g0j1x2kltj10dsgok12wnai5.com,gameover,dga
239,1ezozxt1wzb1d51xa6q9q8fqean.net,gameover,dga
240,p8h6me184y73w7ntunr1h109v3.org,gameover,dga
241,17rlikt1pqpaeu17zohys1v4mxkm.com,gameover,dga
242,eruko9b2d6x3k5sc70imy1yo.net,gameover,dga
243,viqa0bhxiajc68c14e1cm8f5v.com,gameover,dga
244,koqcg2gqiguc1k8m6kd122nnnk.net,gameover,dga
245,1uin86f4zk3qrajmh0f1k4jcqv.com,gameover,dga
246,j2ynv5h72mgie8ztghkxlm1e.org,gameover,dga
247,1eh409k346xbx9ja4w01o8zdcn.net,gameover,dga
248,1vk8hj7m25enuv7ypv81n4jfnp.com,gameover,dga
249,1tg1xp31jp4vej13rjlb51hev3pd.com,gameover,dga
250,1juac1y1p4wn141lvilkmndww6v.org,gameover,dga
251,voune5ckj6k21b47kna1qa745x.net,gameover,dga
252,1cigrp288scttf9qp9cq3iwxf.biz,gameover,dga
253,1idramk3u6wda1w61qe16w8wd7.net,gameover,dga
254,1m2k2sk1vp41hq10ocrdbbewz1i.biz,gameover,dga
255,12y0fyjh8ug5y1to6wvyagc2zh.com,gameover,dga
256,fe5cpi13nw0oj11l9ohpdnwtk5.biz,gameover,dga
257,1ytepn61ph5ipm1ny21082p7lz.org,gameover,dga
258,153pjis1un6e221xnifrkwnkywa.org,gameover,dga
259,uxfjj8iv4wcfxlr1zg1jldzo9.com,gameover,dga
260,1vbmovo1aq8mxp1sxwr6gvdkp9a.net,gameover,dga
261,1szpmps1knp306lsgo6jhr2msx.org,gameover,dga
262,1ggesfg1qvt7wkonxj8z1erawl5.biz,gameover,dga
263,irgj6h1dcfs8n5sokgs1wok6rh.net,gameover,dga
264,geto5j138xzot10mavq33gzd40.net,gameover,dga
265,1h4av4tsw3dws14aevmh1gcoosx.biz,gameover,dga
266,1xg4eb4xskjzm1p3njqm1u5feh2.net,gameover,dga
267,t7afmp8toqe16eeu1hp7b205.net,gameover,dga
268,5pihi213bhjtgn2crti1ayrmsn.org,gameover,dga
269,x2ga1s1xoe6gs1whb7ly1xvv1p6.org,gameover,dga
270,1kzhy2ha6ifqjjordcj1achdrk.org,gameover,dga
271,1bgm305ff27a7r8pkk41ix7l5g.com,gameover,dga
272,22jdc51bek9gygg8f901mrk0hs.net,gameover,dga
273,1gd6vqb1upz9zf18j9ag61cd7oif.net,gameover,dga
274,13iowby1jge7d1wdqckk1z0lhyo.net,gameover,dga
275,1to2mcy1mwai2f19w50vc1cutykg.org,gameover,dga
276,17ryur4b4bpc87xhqic1ylyneh.org,gameover,dga
277,10ifqtq16dci0a4cemnh19y2djc.net,gameover,dga
278,4riqfrl8nqljtg8qkk3u73w6.net,gameover,dga
279,13ilctn10msgcs1lgbpg3sntynk.com,gameover,dga
280,adk9ey1irzh3r2l0y9wdf8ld2.net,gameover,dga
281,1na5vmz1b9erxdunfuxv1rpaj9v.com,gameover,dga
282,18mazyfjfmkomlk0orrrhxk8h.net,gameover,dga
283,oqf2rm1vhl1b71pgqdxu1pjtwk1.net,gameover,dga
284,glksr5abwz4gkcuzo117tn59d.biz,gameover,dga
285,105h90hpme6wafmyc491gxd8km.net,gameover,dga
286,1jvfc8q1kp8nds1dw5o6z1g3anjx.net,gameover,dga
287,1arm36b1liyl5o1bfpjbyk9nzwp.net,gameover,dga
288,1ije83p99lvs419kfrjmrt552d.net,gameover,dga
289,7p729327xtlyt056282uhqfd.org,gameover,dga
290,119l187v7tpx71peiv9d1o33rlg.net,gameover,dga
291,2urc8d1e2y7rg12k3rvwmmd728.com,gameover,dga
292,has4ct1l8vkusrz8tbqv2e38l.net,gameover,dga
293,1yudtoh55zp4t911goy12w5jhg.org,gameover,dga
294,mp9ngr1h838sdusavps184w5yw.org,gameover,dga
295,1mqjz8pmf89pe11hojew12xp4oi.net,gameover,dga
296,14dmvpjsf3yzz1vr6bkn18y9s9f.org,gameover,dga
297,ou7bw5hduldw17lgl35i5oor9.org,gameover,dga
298,1s29zw41kl12dn108j15w6a9doy.com,gameover,dga
299,lubbx1m06xwjpbme0s1qnl8k2.org,gameover,dga
300,68eurbovx6z4v32twmmuuetj.net,gameover,dga
301,1ndz9t1wsnocg1csq0xf66c482.com,gameover,dga
302,182trjd9hkdil18phk0l1nfvgd2.com,gameover,dga
303,3ubgvdkme00v14e4vi0oag8f8.org,gameover,dga
304,13bofzhaaw3rexz86wp1j2tnkf.com,gameover,dga
305,1gw5d2y83y9413kfu6an67wks.net,gameover,dga
306,15fjhzr89xfjr1cu6i05ep58e8.net,gameover,dga
307,7191111e1rgni1etk5n96vkd56.net,gameover,dga
308,11b0920chxbkg1of64si1i6iost.org,gameover,dga
309,b3wjwe1v067w31lltsn72lnllj.net,gameover,dga
310,1d07m0x19vj0zk15qfw6t1gmtlzd.org,gameover,dga
311,lwyibs1tvpu6izh6ms310o7wbz.com,gameover,dga
312,17sm4kk6ucbcf1ibj5t3zvjfva.org,gameover,dga
313,1wtyuvoc42dzvaulevu1orzweh.net,gameover,dga
314,cpvl0a1mzuhbguqczq816er5ez.com,gameover,dga
315,e61zhi1d8b11a9kjwtm1ximpes.net,gameover,dga
316,19cubin1bxh5f6qd5mml8cv6di.biz,gameover,dga
317,18kad01i867gl1fy0kqy10jjxhe.com,gameover,dga
318,jxgehem5v2wtlp2ub1m7oi06.org,gameover,dga
319,1huvofvsrpeyv11t3n61telq4g.org,gameover,dga
320,1wht9b61872kmtd7eho4wx9a1t.org,gameover,dga
321,13nk1c01ivpd3i1s1u7jy7dnq4i.net,gameover,dga
322,1hojizut3hfc81gfj0gtl72fuj.org,gameover,dga
323,1lr6oam8k6uwvxgtwytjq78x.org,gameover,dga
324,6wrpi11ma9zh1tqf2lr169wnh5.net,gameover,dga
325,1ulmufqc074ojsbmyha1uudmbp.net,gameover,dga
326,ltkxb717kxikt11c9fbe18b0k0x.org,gameover,dga
327,1mg9g1n84c3o51wm7mc11sjghok.org,gameover,dga
328,1hirplfifybd91utwzza149t9or.com,gameover,dga
329,qinnvn1nhcgf21ifcxnd15c33uk.com,gameover,dga
330,v0k6271ib47sf1ewghwjt3bq18.com,gameover,dga
331,qbdyk88immdt1cl6ixmo2mdyb.org,gameover,dga
332,1e9t77u33qq5eyxsv2jy1mdib.biz,gameover,dga
333,3sf7cv1fwbvvdkt946v1ntpo9e.net,gameover,dga
334,1n0dk50130focpl7gi0e1in2flg.com,gameover,dga
335,5j6mzeqa2enm1qf5btfy9g2an.org,gameover,dga
336,1md3va93kc08nongmdk1lp031v.org,gameover,dga
337,5d9l21kwwlv01ep69h266zksz.net,gameover,dga
338,2qhpqc59s19cvg6uwue0bawg.biz,gameover,dga
339,1qmsfsyvt89du1t9w48w121woeb.org,gameover,dga
340,1v6uszgbmwnsn1u6bzkd1id94ot.org,gameover,dga
341,1skr181m2d4qs92l7ca1mls4xh.com,gameover,dga
342,1sjr16n1jbldb91eoctcugpc44u.org,gameover,dga
343,7c814takmy9y8qvu501w2954w.net,gameover,dga
344,10l8dv71t3jzvn1lyzfqdsla3nd.org,gameover,dga
345,b173yz3cn9r812ftzka1780uz8.org,gameover,dga
346,1qxsn451snqybo9jaho4j562tt.biz,gameover,dga
347,s6w0r014v25n8g6cy1i1yoebyl.net,gameover,dga
348,24692a15nxtyr12kmri2gf4l6k.com,gameover,dga
349,129vt2ynfyvcz1tv1vk814mw9o1.biz,gameover,dga
350,1s8wfs416d6fmj1g0dt5m15x0dy6.biz,gameover,dga
351,12mnst01g5nrgtth5pzh1iq0q4e.com,gameover,dga
352,mgt5gaw9ytyo1besr9pixjhp2.org,gameover,dga
353,i5la8h9fjdpcwu4cga10lhj7m.com,gameover,dga
354,1hj0v1q1eru0jg18x7jizvxa1bc.net,gameover,dga
355,18moyd314sq530lpleky1rm7mpx.net,gameover,dga
356,1yut1c13tqufes86324pmhfud.net,gameover,dga
357,1hilvkyhj2ta6f4dnz61outrv4.net,gameover,dga
358,ohsebp6shi491odjw212k2lo4.net,gameover,dga
359,1dch0ol1pqkgdh8cq9vi1xrzfuw.net,gameover,dga
360,udlkve167p4xj7b6otl14287fg.biz,gameover,dga
361,2rhb3g1yjqgqhs5rwwn5tnlrf.org,gameover,dga
362,zhil54moobcqfr90lm1200c5y.com,gameover,dga
363,16ii0xhe25igx1agwbrq6eaa78.biz,gameover,dga
364,y8jiyszjsnu5xigcmz13ic6vc.net,gameover,dga
365,uyo6fq19qtty27rg3gxo7idg.biz,gameover,dga
366,of8oq1m1wmd010qk3qy17z5ogk.biz,gameover,dga
367,17cwow9c6frwap39alewik7lg.com,gameover,dga
368,whqw9o1dvd0r81i2hlkvxed8v.org,gameover,dga
369,koyce3ukcb3u4q24a21lkr0xu.net,gameover,dga
370,1xy5r9b1s9brwro3y3wk1pqbj2a.com,gameover,dga
371,p7rhqr1azv00b1s6k3aq7j6otn.biz,gameover,dga
372,1m508yvgzyz1tqk3c1rlpllr.biz,gameover,dga
373,1x5dvgs42s3s3d8nfyw1d2t6hr.net,gameover,dga
374,nof5v61rwoemcx08lws178axxq.org,gameover,dga
375,1gv3nlwj8ld1j1f6iayf1atkpgd.biz,gameover,dga
376,13gg3baww28s21lvknq21cg9lkj.net,gameover,dga
377,8bsn8n16taocvxf9o4aztfu7s.net,gameover,dga
378,s7qr381eemtpgzil1yt1bkvthq.com,gameover,dga
379,yqn5j91nwucd01kdj9ehnff0m.org,gameover,dga
380,1qhwx40sarjs51pom5qqljehr3.com,gameover,dga
381,1ftv6i81587bbqeznofn10vn0xh.biz,gameover,dga
382,142844b1b1bho618zzvblmpf5md.biz,gameover,dga
383,1hcjfrz1fgzand1yz70891a96p62.net,gameover,dga
384,m1luqkbmz9l81srm6wt19c4n0u.org,gameover,dga
385,1bjfncg1n1lk5e1e8ks961omx5xi.org,gameover,dga
386,15d7fzf1181hr1mzewa4j7y1h2.net,gameover,dga
387,9im05yzbpn5d1sw4a721hx7i99.com,gameover,dga
388,1rjo3m71s3nac81gqeaca1kxxsq2.net,gameover,dga
389,2cz39nn9sylkvgomkh10svfud.net,gameover,dga
390,1bxbjy81600i2b1hqxdd8qytgbr.org,gameover,dga
391,a9ve58unobq51ck4yijdch26u.org,gameover,dga
392,lyg83c11o9jrd1jg3pcwb1z9r.net,gameover,dga
393,1gplvdg6e1i9157nyp6866owt.com,gameover,dga
394,9chvyloq8qoz1d990bov14kun.net,gameover,dga
395,1hh71261k19x57183onwb13cpgvp.com,gameover,dga
396,5asvae12rpxz61xvvl3v18rx6je.com,gameover,dga
397,1yj5de01fpfjtq1tud10rbgdd1y.org,gameover,dga
398,10z32npbrg2u71d3rycjd5euwh.net,gameover,dga
399,1sdlhzawxvw8s1lrv5ydykqvjl.com,gameover,dga
400,1ix41lh1ys2aghe7yxb0hm0ovq.com,gameover,dga
401,67fa044to14wblj8qs8mi27w.net,gameover,dga
402,1cdklfq1ecij5y1syfzh6bdgihq.net,gameover,dga
403,1i3s2s81c638hewctsp2dc1o27.com,gameover,dga
404,w6tlsj9ag2u2rrz0jj6ii5we.net,gameover,dga
405,1uz44ef16fy7rs1d20e1uu6tlov.net,gameover,dga
406,z8yj3j1j9p3pu1hyvcfh1i5x8dy.com,gameover,dga
407,bu2hd018jbq1616upbmcb54cdy.net,gameover,dga
408,18cc5zd18hw9zew0ze1tjtcoah.com,gameover,dga
409,1vr81bp1jajmp01ar20js1xmx43e.com,gameover,dga
410,gvpalf97q6u2t0ozt914hgfx2.com,gameover,dga
411,195yar51i8t1r91vavc6ho4dwqu.biz,gameover,dga
412,1km7ygm1s3jxg4jbpxl101014u.net,gameover,dga
413,184ykun15k0ccv1uawlkm1vhdzk4.com,gameover,dga
414,8b2tw415e5yfkm177be4vvgkp.org,gameover,dga
415,1gfehz11bvh69t1kepoj2dg7tqd.org,gameover,dga
416,29vkrz1tqem2a18n1erbt07gl7.biz,gameover,dga
417,159khyar6udms15ob9aj1qm2lwo.org,gameover,dga
418,29wzqp1qchnksdd6vv1jwmwsr.org,gameover,dga
